Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,Mis dans cart
BT1,1,Battery Holder,,,,CustomLib:BAT_2479,~,
BT2,1,Battery,,,,CustomLib:2 pin screw connector,~,
C1,1,100nF,,,,Capacitor_SMD:C_0805_2012Metric,~,
C2,1,1nF,,,,Capacitor_SMD:C_0805_2012Metric,~,
D2,1,6V,,,,Diode_SMD:D_SOD-123,https://www.digikey.ca/en/products/detail/diodes-incorporated/MMSZ5233B-7-F/814355,
"D3,D4",2,S1J-AQ,,,,Diode_SMD:D_SMB_Handsoldering,https://www.digikey.ca/en/products/detail/diotec-semiconductor/S1J-AQ/22191240,
D6,1,2.85V 1.5Amax,,,,LED_SMD:LED_Cree-XHP50_3V_HighDensity,https://www.digikey.ca/en/products/detail/cree-led/XTEAWT-00-0000-000000F51/2811435,
"H1,H2",2,~,,,,CustomLib:Heatsink,,
Q1,1,SL2312,,,,Package_TO_SOT_SMD:TSOT-23_HandSoldering,https://www.digikey.ca/en/products/detail/shenzhen-slkormicro-semicon-co-ltd/SL2312/27519102,
Q2,1,SL2301S,,,,Package_TO_SOT_SMD:TSOT-23,https://www.digikey.ca/en/products/detail/shenzhen-slkormicro-semicon-co-ltd/SL2301S/26112879,
R1,1,100k,,,2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
R2,1,1k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,
R3,1,5k,,,,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,
R4,1,1.6,,,,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,https://www.digikey.ca/en/products/detail/yageo/RC1206FR-071R6L/728449,
RV1,1,10k,,,,Potentiometer_SMD:Potentiometer_Bourns_TC33X_Vertical,https://www.digikey.ca/en/products/detail/bourns-inc/TC33X-1-103E/2566867,
SW1,1,SW_DPDT_x2,,,,CustomLib:DPDT,~,
U1,1,LM555xM,,,,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/lm555.pdf,
